file_guid	citation_id	doc_position	query_method	doc_method	mrr_score	rank	precision_score	az	cfc	match_guid	first_result
c04-1041	cit45	18.0	window20_20	ilc_AZ_paragraph_CSC	1.0	1	1	OWN	Neut	p04-1014	p04-1014
c04-1041	cit42	14.0	window20_20	ilc_AZ_paragraph_CSC	0.5	2	0	OWN	Neut	c00-1085	w03-1013
p94-1038	cit24	18.0	window20_20	ilc_AZ_paragraph_CSC	1.0	1	1	OWN	Neut	h92-1021	h92-1021
p97-1035	cit31	8.0	window20_20	ilc_AZ_paragraph_CSC	1.0	1	1	OWN	Neut	p92-1032	p92-1032
p99-1033	cit19	12.0	window20_20	ilc_AZ_paragraph_CSC	1.0	1	1	OWN	Neut	w98-0501	w98-0501
p99-1041	cit21	18.0	window20_20	ilc_AZ_paragraph_CSC	0.333333333333	3	0	OWN	Neut	p98-2210	p90-1034
w04-w2_moschitti	cit15	11.0	window20_20	ilc_AZ_paragraph_CSC	1.0	1	1	OWN	Neut	p02-1034	p02-1034
j98-4001	cit86	9.0	window20_20	ilc_AZ_paragraph_CSC	1.0	1	1	OWN	Neut	j86-3001	j86-3001
e99-1007	cit31	13.0	window20_20	ilc_AZ_paragraph_CSC	1.0	1	1	OWN	Neut	p98-2184	p98-2184
j97-4003	cit33	7.0	window20_20	ilc_AZ_paragraph_CSC	1.0	1	1	OWN	Neut	c96-1092	c96-1092
p01-1064	cit45	20.0	window20_20	ilc_AZ_paragraph_CSC	1.0	1	1	OWN	Neut	p99-1046	p99-1046
c02-1126	cit31	19.0	window20_20	ilc_AZ_paragraph_CSC	1.0	1	1	OWN	Neut	j03-4003	j03-4003
p04-1017	cit16	12.0	window20_20	ilc_AZ_paragraph_CSC	1.0	1	1	OWN	Neut	p87-1022	p87-1022
p04-1017	cit18	12.0	window20_20	ilc_AZ_paragraph_CSC	0.5	2	0	OWN	Neut	p98-2204	p87-1022
w00-1307	cit20	12.0	window20_20	ilc_AZ_paragraph_CSC	1.0	1	1	OWN	Neut	p98-1115	p98-1115
w03-0412	cit16	15.0	window20_20	ilc_AZ_paragraph_CSC	1.0	1	1	OWN	Neut	w98-0717	w98-0717
